Códigos de Fabricantes
"Código Descripción
0061 ISODEL
4700 ISODEL SPRECHER
4800 ISOLUX WAT S.A.
0063 ISSARIA
0610 ITRON
0064 KAINOS
0065 KAINOTRAF
0066 KLOCKNER MOELLER
1800 KONCAR
0067 KORTING-KANDEN
70 KWK
5700 LAB. ELECTROT. S.A.
5500 LANDIS & GYR
0072 LARRAÑAGA
0073 LATECNO
0074 LAURK
0075 LEGRAND
0076 LEISA
0077 LEMAG
0078 M.M.E.
0079 MEDEX
0080 MERC LIBERALIZ CAPT
0081 MERLIN GERIN
0082 METREGA/ISKRA
0083 METRON
5800 MGC
5850 MIMAVEN
0084 MONTROUGE
5855 N. MAGRINI GALILEO
0002 n/a
0085 NORMA
0086 O.P.U."
26 agosto 2025 3 de 6
